id,name,type,family,stage,process_chain,art_status,art_url,hunger_key,flavor_key,star_roles,updatedAt
pigs,Pigs,Protein,Livestock,primary,Pigs,MISSING,MISSING,protein,other,,2026-09-02T00:00:00.000Z
sheep,Sheep,Protein,Livestock,primary,Sheep,MISSING,MISSING,protein,other,,2026-09-02T00:00:00.000Z
dry-aged-beef-ribeye,Dry-Aged Beef Ribeye,Protein,Beef,processed,Dry-Aged Beef Ribeye,present,assets/ingredients/1_supply_ribeye.png,protein,other,,2026-09-02T00:00:00.000Z
dry-aged-beef-strip,Dry-Aged Beef Strip,Protein,Beef,processed,Dry-Aged Beef Strip,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
dry-aged-beef-sirloin,Dry-Aged Beef Sirloin,Protein,Beef,processed,Dry-Aged Beef Sirloin,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
dry-aged-lamb-loin,Dry-Aged Lamb Loin,Protein,Lamb,processed,Dry-Aged Lamb Loin,present,assets/ingredients/1_supply_lamb_chops.png,protein,other,,2026-09-02T00:00:00.000Z
dry-aged-lamb-rack,Dry-Aged Lamb Rack,Protein,Lamb,processed,Dry-Aged Lamb Rack,present,assets/ingredients/1_supply_lamb_chops.png,protein,other,,2026-09-02T00:00:00.000Z
hops,Hops,Other,Beverage Crop,primary,Hops,MISSING,MISSING,other,other,,2026-09-02T00:00:00.000Z
carne-asada,Carne asada,Protein,Beef,processed,Carne asada,MISSING,MISSING,protein,other,,2026-09-02T00:00:00.000Z
carnitas,Carnitas,Protein,Pork,processed,Carnitas,MISSING,MISSING,protein,other,,2026-09-02T00:00:00.000Z
al-pastor,Al pastor,Protein,Pork,processed,Al pastor,MISSING,MISSING,protein,other,,2026-09-02T00:00:00.000Z
barbacoa,Barbacoa,Protein,Beef,processed,Barbacoa,MISSING,MISSING,protein,other,,2026-09-02T00:00:00.000Z
cooked-lengua,Cooked lengua,Protein,Beef,processed,Cooked lengua,MISSING,MISSING,protein,other,,2026-09-02T00:00:00.000Z
crispy-tripas,Crispy tripas,Protein,Pork,processed,Crispy tripas,MISSING,MISSING,protein,other,,2026-09-02T00:00:00.000Z
refried-beans,Refried beans,Protein,Legume,processed,Refried beans,MISSING,MISSING,protein,other,,2026-09-02T00:00:00.000Z
salsa-roja,Salsa roja,Vegetable,Condiment,processed,Salsa roja,MISSING,MISSING,other,condiment,,2026-09-02T00:00:00.000Z
chile-pepper,Chile pepper,Spice,Chile,processed,Chile pepper,present,assets/ingredients/1_supply_chile_pepper.png,other,spice,,2026-09-02T00:00:00.000Z
mexican-crema,Mexican crema,Dairy,Cream,processed,Mexican crema,MISSING,MISSING,dairy,other,,2026-09-02T00:00:00.000Z
asparagus,Asparagus,Vegetable,Shoot Vegetable,primary,Asparagus,MISSING,MISSING,vegetable,other,,2026-09-02T00:00:00.000Z
wheat-grain,Wheat grain,Carb,Grain,primary,Wheat grain,present,assets/ingredients/1_supply_wheat_stalks.png,carb,other,,2026-09-02T00:00:00.000Z
boiled-egg,½ boiled egg,Protein,Egg,processed,Eggs → Boiled egg → ½ boiled egg,present,assets/ingredients/1_supply_brown_speckled_eggs.png,halfEgg,other,halfBoiledEgg,2026-09-02T00:00:00.000Z
seasoned-boiled-egg,½ seasoned boiled egg,Protein,Egg,processed,Eggs → Boiled egg → Seasoned → ½ seasoned boiled egg,present,assets/ingredients/1_supply_brown_speckled_eggs.png,halfEgg,other,halfSeasonedBoiledEgg,2026-09-02T00:00:00.000Z
